termID,notes,shouldBeTranslated,translationNeedsToBeUpdated,English,Traditional Chinese,Simplified Chinese,Brazilian Portuguese,Polish,Japanese,Korean,Russian,French,German,Spanish,Italian,Ukranian
a game by,,TRUE,FALSE,a game by,遊戲由,制作团队,jogo criado por,gra autorstwa,ゲーム制作,게임 제작,авторы игры,,,,,
add,,TRUE,FALSE,"add
","新增
","添加
","adicionar
","dodaj
","追加する
","추가
","добавить
",,,,,
add friends,,TRUE,FALSE,"add friends
","新增好友
","添加好友
","adicionar amigos
","dodaj znajomych
","フレンドを追加する
","친구 추가
","добавить друзей
",,,,,
audio,,TRUE,FALSE,audio,音效,声效,áudio,dźwięk,オーディオ,오디오,звук,,,,,
back,,TRUE,FALSE,back,返回,返回,voltar,wróć,戻る,뒤로,назад,,,,,
bios_credit_beeswax,don't translate beeswax games,TRUE,TRUE,"beeswax games
presents","beeswax games
呈獻","beeswax games
诚意献上","beeswax games
apresenta","beeswax games
prezentuje","beeswax games
制作","beeswax games
제공","beeswax games
представляет",,,,,
bios_credit_fund,don't translate flemish audiovisual fund,TRUE,TRUE,"made possible by
   flemish
   audiovisual
   fund","由
   flemish
   audiovisual
   fund 贊助","特别感谢
   flemish
   audiovisual
   fund","com o apoio do
   flemish
   audiovisual
   fund","projekt współfinansowany przez
   flemish
   audiovisual
   fund","制作協力
   flemish
   audiovisual
   fund","제작 지원:
   flemish
   audiovisual
   fund","создано при поддержке
   flemish
   audiovisual
   fund",,,,,
bios_credit_names,don't translate names,TRUE,TRUE,"a game by
> adam pype
> tibau van
  den broeck
> with sound by
  viktor kraus","遊戲由
> adam pype
> tibau van
  den broeck 設計
音效由
>  viktor kraus 設計","制作团队
> adam pype
> tibau van
  den broeck
> 音频制作
  viktor kraus","jogo criado por
> adam pype
> tibau van
  den broeck
> com som de
  viktor kraus","gra autorstwa
> adama pype’a
> tibau van
  den broecka
> dźwięk:
  viktor kraus","製作者
> adam pype
> tibau van
  den broeck
> 音楽
  viktor kraus","게임 제작
> adam pype
> tibau van
  den broeck
> 사운드 제작
  viktor kraus","авторы игры
> adam pype
> tibau van
  den broeck
> звук:
  viktor kraus",,,,,
bios_startup,,FALSE,FALSE,"[1][x]
//MS-BOS 3.05 -- Ment Sierra systems,inc
//(c)opyright 1960-1974 all rights reserved
[1]
main processor:	Fentyl core(R) - 2400hz(x 02)
(CPU0) 0f29 patch(D)
ram:		13500kb
graphic unit:	Fentyl basic+ (512MB)
(GPU0) cs:default 00x0

[1]MEM test: [count:33400: OK]

[1]memory runs at dual channel
[4][x]detecting IN drivers[...]
[0.1]CH 01 | master |	fentyl rn		DEFAULT
[0.1]CH 01 | sub    |	none
[0.1]CH 02 | master |	ieac	CD-0002
[0.1]CH 02 | sub    |	ML-DT-3F    sta45772
[0.1]CH 03 | master |	addon detected on PORT01 (sign.:'sigil starr')
[0.1]CH 03 | sub    |	missing

[0.5](!) driver channel 03: error
	| 0x14 	:	sub drive missing
	| 1x30	:	couldn't verify signature
[3]",,,,,,,,,,,,
bluescreen_errorcode,,TRUE,FALSE,"error code: ",錯誤代碼:,错误代码:,Código de erro:,Kod błędu:,エラーコード:,오류 코드:,Код ошибки:,,,,,
bluescreen_errormessage,,FALSE,FALSE,"30004H (device at PORT01)
msg 'sigil overflow, attempting to recalibrate'",,,,,,,,,,,,
bluescreen_explanation,,TRUE,TRUE,"your computer encountered a critical error
and needs to reboot.",您的電腦遇到嚴重錯誤，需要重新啟動。,您的电脑遇到严重错误，需要重新启动。,Seu computador encontrou um erro crítico e precisa reiniciar.,Twój komputer napotkał krytyczny błąd i musi się ponownie uruchomić.,コンピューターが重大なエラーに遭遇し、再起動が必要です。,컴퓨터에 치명적인 오류가 발생하여 다시 시작해야 합니다.,Ваш компьютер столкнулся с критической ошибкой и требуется перезагрузка.,,,,,
bluescreen_percentage,,TRUE,FALSE,[perc]% complete,[perc]% 完成,[perc]% 完成,[perc]% concluído,[perc]% ukończono,[perc]% 完了,[perc]% 완료,[perc]% завершено,,,,,
board,,TRUE,FALSE,board,討論板,板块,tópico,tablica,掲示板,게시판,форум,,,,,
bookmarks,,TRUE,FALSE,bookmarks,書籤,收藏夹,favoritos,zakładki,ブックマーク,북마크,закладки,,,,,
borderless,"as in ""borderless window""",TRUE,FALSE,borderless,無邊界,无边框,sem margens,bez ramki,ボーダレス,테두리 없음,без рамок,,,,,
browser_attachment,,TRUE,FALSE,download [filename],下載 [filename],下载[filename],baixar [filename],pobierz [filename],[filename]をダウンロード,[filename] 다운로드,скачать [filename],,,,,
cancel,,TRUE,FALSE,cancel,取消,取消,cancelar,anuluj,キャンセル,취소,отмена,,,,,
chatuser/chatuser_deleted,,TRUE,FALSE,[deleted user],[已刪除的使用者],[用户已注销],[usuário excluído],[usunięty użytkownik],[削除済みユーザー],[삭제된 사용자],[удаленный пользователь],,,,,
chatuser/chatuser_enuitsabine,,TRUE,FALSE,enuit sabine,enuit 薩賓,eniut萨比娜,sabine enuit,sabine z enuit,enuit sabine,enuit 사빈,сабин enuit,,,,,
chatuser/chatuser_guest,,TRUE,FALSE,worldi-user-9974,worldi-使用者-9974,worldi-user-9974,worldi-usuário-9974,worldi-user-9974,worldi-user-9974,worldi-사용자-9974,worldi-user-9974,,,,,
chatuser/chatuser_marcob,,TRUE,FALSE,marco b.,馬可 b,马尔可·b.,marco b.,marco b.,marco b.,마르코 b.,marco b.,,,,,
clear,,TRUE,FALSE,clear,,,,,,,,,,,,
cloudy,,TRUE,FALSE,cloudy,多雲,多云,nublado,pochmurnie,くもり,흐림,облачно,,,,,
coming soon,,TRUE,FALSE,coming soon,即將登場,敬请期待,em breve,wkrótce,近日公開,곧 공개 예정,в разработке,,,,,
connect,,TRUE,FALSE,connect,連接,连接,conectar,połącz,接続する,연결,подключиться,,,,,
connect!,,TRUE,FALSE,connect!,連接！,连接！,conectar!,połącz!,接続！,연결!,подключиться!,,,,,
continue,,TRUE,FALSE,continue,繼續,继续,continuar,kontynuuj,続ける,계속하기,продолжить,,,,,
create game,,TRUE,FALSE,create game,建立遊戲,创建游戏,criar jogo,stwórz grę,ゲームを作る,게임 생성,создать игру,,,,,
create room,,TRUE,FALSE,create room,建立房間,创建房间,criar sala,stwórz pokój,ルーム作成,방 생성,создать комнату,,,,,
credits,,TRUE,FALSE,credits,製作團隊,制作团队,créditos,twórcy,クレジット,크레딧,титры,,,,,
